Compa,NAICS,Latit,Longi
CASH-TITLE EXCHANGE,CONSUMER LENDING,34.137478,-87.98906
SPEEDEE LOANS,CONSUMER LENDING,30.882851,-87.772148
ALABAMA TITLE LOANS,CONSUMER LENDING,30.551559,-87.708954
FLORIDA TITLE,CONSUMER LENDING,30.514982,-87.469393
WORLD FINANCE,CONSUMER LENDING,30.67704,-88.133797
ALASKA CASH NOW,CONSUMER LENDING,61.572967,-149.388746
SECURITY FINANCE,CONSUMER LENDING,34.24822,-86.177457
TMX FINANCE,CONSUMER LENDING,33.788055,-85.760536
CASH 2 GO,CONSUMER LENDING,31.007787,-87.265401
SECURITY FINANCE,CONSUMER LENDING,31.458381,-85.642114
COVINGTON CREDIT CORP,CONSUMER LENDING,31.44793,-85.654686
CASH COW,CONSUMER LENDING,31.847024,-86.639454
SUPREME LENDING,CONSUMER LENDING,35.087058,-92.416596
ACCEPTANCE LOAN CO,CONSUMER LENDING,30.638678,-88.141024
ONEMAIN FINANCIAL,CONSUMER LENDING,33.841094,-87.246001
MONEY MART,CONSUMER LENDING,32.899,-86.7239
1 FUNDING SOURCE,CONSUMER LENDING,30.6153,-87.8728
CHAMPION COMMUNICATIONS,CONSUMER LENDING,34.198693,-86.855345
DEPT OF FINANCE STATE ALABAMA,CONSUMER LENDING,32.3745,-86.3116
CHECKSMART,CONSUMER LENDING,33.494311,-112.221021
CHECKSMART,CONSUMER LENDING,33.507192,-112.238167
ADVANCE AMERICA,CONSUMER LENDING,34.122263,-87.991376
WESTERN FINANCE-AAT,CONSUMER LENDING,34.7899,-86.9771
EASYMONEY CASH CENTERS,CONSUMER LENDING,30.6427,-87.9129
ONEMAIN FINANCIAL,CONSUMER LENDING,33.616212,-85.826118
SOUTHEAST CAPITAL & FINANCE,CONSUMER LENDING,35.251591,-91.711453
FARM CREDIT SVC CENTL ARK,CONSUMER LENDING,35.607544,-91.247923
COVINGTON CREDIT CORP,CONSUMER LENDING,33.164735,-86.273673
EQUITY PARTNERS REALTY,CONSUMER LENDING,36.155119,-94.143154
CREDITCENTRAL,CONSUMER LENDING,33.467727,-86.832833
NATIONAL REAL ESTATE INFO SVC,CONSUMER LENDING,33.543699,-86.687798
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.531129,-86.853738
INNOVATIVE MORTGAGE SVC,CONSUMER LENDING,34.152117,-85.67971
CREDITCENTRAL,CONSUMER LENDING,34.833358,-87.614884
CADENCE BANK,CONSUMER LENDING,34.54933,-86.431019
CREDITCENTRAL,CONSUMER LENDING,34.022812,-86.044243
ALABAMA AG CREDIT,CONSUMER LENDING,30.672199,-87.852785
EXPRESS LOANS CO,CONSUMER LENDING,33.626274,-86.684983
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.524997,-86.723866
TOWER LOAN,CONSUMER LENDING,33.605392,-86.629826
HOMESERVICES LENDING,CONSUMER LENDING,33.486134,-86.783813
TITLE MAX,CONSUMER LENDING,31.830342,-86.624275
CENTENNIAL BANK,CONSUMER LENDING,36.345688,-92.377777
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.670898,-85.827209
TITLE MAX,CONSUMER LENDING,33.668388,-85.826368
QC FINANCIAL SVC,CONSUMER LENDING,33.450165,-86.986625
ALABAMA HOUSING FINANCE AUTH,CONSUMER LENDING,32.3443,-86.2241
CREDITCENTRAL,CONSUMER LENDING,34.12613,-87.989413
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.582085,-86.92038
ACCEPTANCE LOAN CO,CONSUMER LENDING,31.252546,-85.435392
ADVANCE AMERICA,CONSUMER LENDING,34.73702,-86.647194
LOAN MASTER,CONSUMER LENDING,34.321182,-86.311501
LOAN SOUTH FINANCE OF TROY,CONSUMER LENDING,31.783994,-85.957512
VEHICLE ACCEPTANCE,CONSUMER LENDING,33.480804,-111.990164
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.506891,-86.795441
EVERGREEN BUSINESS CAPITAL CO,CONSUMER LENDING,61.600045,-149.189737
SERVISFIRST BANK,CONSUMER LENDING,34.735139,-86.587333
ADVANCE AMERICA,CONSUMER LENDING,32.8165,-86.60591
ANCHORAGE EQUITY PARTNERS LLC,CONSUMER LENDING,61.18152,-149.885012
ALASKA CASH NOW,CONSUMER LENDING,61.18178,-149.869224
MAX CREDIT UNION,CONSUMER LENDING,32.4031,-86.2445
PORTER BILLING SVC,CONSUMER LENDING,33.51536,-86.80407
ALABAMA TITLE LOANS,CONSUMER LENDING,33.51665,-86.802875
ALWAYS MONEY,CONSUMER LENDING,32.3791,-86.18
LOANS BY SORITA,CONSUMER LENDING,33.409214,-86.809239
EASYMONEY CASH CENTERS,CONSUMER LENDING,34.45307,-86.946091
WORLD FINANCE,CONSUMER LENDING,34.438565,-86.94126
TOWER LOAN,CONSUMER LENDING,33.685687,-85.82312
CHECKSMART,CONSUMER LENDING,33.565952,-112.065118
CREDITCENTRAL,CONSUMER LENDING,33.167398,-86.259959
SPEEDY CASH,CONSUMER LENDING,33.46768,-86.819552
ALABAMA CENTRAL CREDIT UNION,CONSUMER LENDING,33.441039,-86.842807
COVINGTON CREDIT CORP,CONSUMER LENDING,34.6557,-86.0349
MONEY STORE,CONSUMER LENDING,30.3853,-87.6835
TOWER LOAN,CONSUMER LENDING,31.230824,-85.432211
TITLE MAX,CONSUMER LENDING,30.829571,-88.06953
WORLD FINANCE,CONSUMER LENDING,31.3078,-86.499881
PAYDAY LOAN,CONSUMER LENDING,33.46768,-86.819552
FARM CREDIT SVC,CONSUMER LENDING,35.212115,-91.731982
TITLE MAX,CONSUMER LENDING,34.680911,-86.739596
PROGRESSIVE CAR FINANCE,CONSUMER LENDING,36.055004,-94.190035
HOMESERVICES LENDING LLC,CONSUMER LENDING,33.431713,-86.825134
FAST CASH,CONSUMER LENDING,33.1695,-87.5254
CORNERSTONE BANK,CONSUMER LENDING,36.39093,-93.738701
LINCOLN LOANCARE INC,CONSUMER LENDING,35.234698,-91.86866
SIGNATURE FINANCE,CONSUMER LENDING,33.514308,-86.810388
SOUTHEASTERN COMMERCIAL FNNC,CONSUMER LENDING,33.511776,-86.812587
ALABAMA TITLE LOANS,CONSUMER LENDING,33.500054,-86.847367
QUICK CREDIT CORP,CONSUMER LENDING,33.142807,-85.355098
GATEWAY ACCEPTANCE CO,CONSUMER LENDING,33.320391,-111.97981
ADVANCE AMERICA,CONSUMER LENDING,33.393513,-86.796736
FIRST HERITAGE CREDIT,CONSUMER LENDING,34.828603,-87.634662
AMERICA'S VA LOAN EXPERTS,CONSUMER LENDING,34.716181,-86.671896
FAMILY LOAN CO INC,CONSUMER LENDING,33.451563,-112.047259
PREFERRED MORTGAGE LLC,CONSUMER LENDING,61.583241,-149.428246
FIRST SECURITY BANK,CONSUMER LENDING,34.770622,-92.33653
BANK OF LITTLE ROCK,CONSUMER LENDING,34.770163,-92.455056
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.67335,-86.032927
NWA FINANCE LLC,CONSUMER LENDING,36.0663,-94.1593
REGIONAL MANAGEMENT,CONSUMER LENDING,33.646367,-86.827004
ADVANCE AMERICA,CONSUMER LENDING,34.1613,-86.8361
TITLE CASH,CONSUMER LENDING,34.188936,-86.85127
REGIONAL FINANCE CORP,CONSUMER LENDING,34.459596,-85.733835
FIRST NATIONAL BANK ALASKA,CONSUMER LENDING,61.187565,-149.829859
SECURITY FINANCE,CONSUMER LENDING,31.3023,-86.4989
TOWER LOAN,CONSUMER LENDING,34.20909,-86.859073
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.602734,-85.831467
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.002761,-85.996351
SPEEDY CASH,CONSUMER LENDING,34.4206,-85.7067
ALWAYS MONEY,CONSUMER LENDING,32.351399,-86.309661
ADVANCE AMERICA,CONSUMER LENDING,33.142834,-85.355103
SOUTHWEST FUNDING INC,CONSUMER LENDING,33.16532,-87.5425
CAPROCQ FUND II MANAGING GP,CONSUMER LENDING,34.762591,-92.301567
MONEYTREE MERCHANT SVC,CONSUMER LENDING,33.250967,-85.812833
MAGIC CITY CAPITAL LLC,CONSUMER LENDING,33.395755,-86.803556
ADVANCE FINANCIAL CORP,CONSUMER LENDING,33.402691,-86.717473
JENCAS FINANCIAL,CONSUMER LENDING,34.843448,-92.397937
TITLE BUCKS,CONSUMER LENDING,33.475559,-86.826918
CREDITCENTRAL,CONSUMER LENDING,34.247189,-86.176343
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.14704,-86.846374
FIRST SOUTH AUTO FINANCE INC,CONSUMER LENDING,34.372766,-92.823101
BLUE STAR FINANCE,CONSUMER LENDING,35.45877,-94.287272
1 STOP CASH,CONSUMER LENDING,32.4268,-85.6849
TITLE MAX,CONSUMER LENDING,33.6073,-86.63194
MONEY MART,CONSUMER LENDING,61.20986,-149.76232
TOWER LOAN,CONSUMER LENDING,34.501364,-87.732258
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.462197,-86.910234
WEST ALABAMA BANK & TRUST,CONSUMER LENDING,33.2579,-88.1485
CASH CONNECTION,CONSUMER LENDING,34.750024,-86.599065
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.622435,-86.568291
TEFCO PAYMENT CTR INC,CONSUMER LENDING,32.646881,-85.373166
ACCEPTANCE LOAN CO,CONSUMER LENDING,34.6524,-86.0353
FIRST COMMUNITY FINANCIAL SVC,CONSUMER LENDING,36.261478,-91.547423
GREAT AMERICAN LOANS,CONSUMER LENDING,33.46517,-86.909157
EQUITY PARTNERS LLC,CONSUMER LENDING,61.194595,-149.880288
TOWER LOAN,CONSUMER LENDING,32.3791,-86.18
NORTH AMERICAN TITLE LOANS,CONSUMER LENDING,33.637482,-85.824936
UAB ACCOUNTS PAYABLE,CONSUMER LENDING,33.5069,-86.8091
MIDTOWN FINANCE,CONSUMER LENDING,33.515666,-86.806024
LENDMARK FINANCIAL SVC,CONSUMER LENDING,30.631989,-87.913925
LOCAL FINANCE OF GREENVILLE,CONSUMER LENDING,31.83084,-86.609817
NORTHPOINTE BANK-LOAN CTR,CONSUMER LENDING,33.436841,-86.723977
REGIONAL FINANCE CORP,CONSUMER LENDING,34.282089,-86.219574
INSTANT CASH,CONSUMER LENDING,31.829393,-86.623931
OAK BRANCH,CONSUMER LENDING,35.091989,-92.431371
SUNBELT FINANCE,CONSUMER LENDING,35.802388,-90.649013
ARVEST BANK,CONSUMER LENDING,36.176869,-94.558778
SIMMONS BANK,CONSUMER LENDING,35.245595,-91.736958
CHAPTER 13 STANDING TRUSTEE,CONSUMER LENDING,34.741047,-92.396736
TOWER LOAN,CONSUMER LENDING,30.415583,-87.683621
ADVANCE AMERICA,CONSUMER LENDING,34.238587,-87.599953
JEWELRY EXCHANGE & LOAN CO,CONSUMER LENDING,34.866474,-92.130852
MONEY MART,CONSUMER LENDING,61.167371,-149.837429
REGIONAL FINANCE,CONSUMER LENDING,33.8445,-87.2528
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.919383,-85.94962
ADVANCE AMERICA,CONSUMER LENDING,33.154476,-87.549464
SPEEDY CASH,CONSUMER LENDING,33.175849,-87.523719
SPEEDY CASH,CONSUMER LENDING,33.23964,-87.575243
SPEEDY CASH,CONSUMER LENDING,33.494379,-112.04806
CHECK DEPOT NUMBER ONE,CONSUMER LENDING,33.473153,-86.825803
ACE CASH EXPRESS,CONSUMER LENDING,34.718068,-92.346246
REGIONAL FINANCE CORP,CONSUMER LENDING,34.566231,-86.972728
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.718022,-87.816839
CHECK DEPOT,CONSUMER LENDING,33.381766,-86.796007
EQUITY DEVELOPMENT CORP,CONSUMER LENDING,33.457938,-86.796647
LENDFIRST FINANCE INC,CONSUMER LENDING,34.546349,-86.974568
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,34.115926,-87.989138
CASH 1 LOANS,CONSUMER LENDING,33.480018,-112.029407
